Trip Duration (secs),starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
266,03:35.5,08:01.8,3273,Manila & 1st,40.72165072,-74.04288411,3209,Brunswick St,40.7241765,-74.05065640000001,42494,Subscriber,1988,male
1543,23:32.9,49:16.1,3681,Grand St,40.71517768,-74.03768331,3213,Van Vorst Park,40.71848892,-74.04772663,45343,Customer,1996,female
1461,23:50.8,48:12.6,3681,Grand St,40.71517768,-74.03768331,3213,Van Vorst Park,40.71848892,-74.04772663,31794,Customer,1995,male
144,39:55.6,42:19.8,3269,Brunswick & 6th,40.72601173,-74.05038893,3211,Newark Ave,40.72152515,-74.04630454,48913,Subscriber,1990,male
265,12:20.8,16:46.4,3276,Marin Light Rail,40.71458404,-74.04281706,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,41620,Subscriber,1958,male
353,14:02.9,19:56.4,3185,City Hall,40.717732500000004,-74.04384499999999,3192,Liberty Light Rail,40.711242299999995,-74.0557013,40709,Subscriber,1974,male
401,32:40.7,39:22.5,3638,Washington St,40.7242941,-74.0354826,3276,Marin Light Rail,40.71458404,-74.04281706,42358,Subscriber,1990,female
352,43:31.1,49:23.6,3279,Dixon Mills,40.72163014,-74.04996783,3639,Harborside,40.71925170000001,-74.034234,44857,Subscriber,1969,male
440,51:05.8,58:26.8,3276,Marin Light Rail,40.71458404,-74.04281706,3278,Monmouth and 6th,40.72568548,-74.04879034,44225,Subscriber,1993,male
405,51:59.6,58:45.3,3276,Marin Light Rail,40.71458404,-74.04281706,3270,Jersey & 6th St,40.72528911,-74.04557168,42157,Subscriber,1993,male
568,21:06.1,30:34.5,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3275,Columbus Drive,40.718355200000005,-74.03891444,42614,Subscriber,1993,female
521,25:24.8,34:06.0,3209,Brunswick St,40.7241765,-74.05065640000001,3276,Marin Light Rail,40.71458404,-74.04281706,42494,Subscriber,1990,male
582,33:23.3,43:05.6,3185,City Hall,40.717732500000004,-74.04384499999999,3269,Brunswick & 6th,40.72601173,-74.05038893,47252,Subscriber,1981,male
730,34:03.8,46:14.3,3185,City Hall,40.717732500000004,-74.04384499999999,3268,Lafayette Park,40.71346383,-74.06285852,35139,Subscriber,1986,female
432,28:58.0,36:10.6,3209,Brunswick St,40.7241765,-74.05065640000001,3276,Marin Light Rail,40.71458404,-74.04281706,32575,Subscriber,1981,male
660,41:32.9,52:33.8,3203,Hamilton Park,40.72759597,-74.04424731,3638,Washington St,40.7242941,-74.0354826,48740,Subscriber,2000,male
1480,41:32.2,06:12.6,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3225,Baldwin at Montgomery,40.7236589,-74.0641943,39421,Customer,1997,male
691,27:19.0,38:50.7,3207,Oakland Ave,40.7376037,-74.05247829999999,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,43572,Subscriber,1991,male
967,47:51.5,03:58.9,3679,Bergen Ave,40.72210379,-74.071455,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,47255,Subscriber,2001,male
286,54:46.7,59:32.9,3207,Oakland Ave,40.7376037,-74.05247829999999,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,40093,Subscriber,1982,male
277,51:09.5,55:47.2,3267,Morris Canal,40.71241882,-74.03852552,3481,York St,40.71649,-74.04105,48742,Subscriber,1985,female
121,52:17.4,54:18.6,3681,Grand St,40.71517768,-74.03768331,3275,Columbus Drive,40.718355200000005,-74.03891444,32526,Subscriber,1962,male
266,18:10.0,22:36.3,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3187,Warren St,40.721123600000006,-74.03805095,33677,Subscriber,1981,male
131,18:14.1,20:25.3,3194,McGinley Square,40.72533993,-74.06762213,3678,Fairmount Ave,40.72572614,-74.07195926,41002,Subscriber,1994,female
1471,26:19.7,50:51.6,3276,Marin Light Rail,40.71458404,-74.04281706,3206,Hilltop,40.7311689,-74.0575736,47045,Subscriber,1989,female
474,28:32.5,36:27.3,3194,McGinley Square,40.72533993,-74.06762213,3268,Lafayette Park,40.71346383,-74.06285852,31496,Subscriber,1975,male
520,31:53.8,40:34.1,3268,Lafayette Park,40.71346383,-74.06285852,3185,City Hall,40.717732500000004,-74.04384499999999,48857,Subscriber,1991,male
526,37:47.0,46:33.2,3206,Hilltop,40.7311689,-74.0575736,3280,Astor Place,40.7192822,-74.07126188,45340,Subscriber,1976,male
311,55:35.0,00:46.3,3209,Brunswick St,40.7241765,-74.05065640000001,3185,City Hall,40.717732500000004,-74.04384499999999,27777,Subscriber,1988,male
